AlbumName	ReleaseDate	ReleaseYear		
The Complete Budokan 1978 (Live)	17-Nov-23	2023		
Shadow Kingdom	2-Jun-23	2023		
The Bootleg Series Vol. 16: Springtime in New York 1980 - 1985 (Standard Edition)	17-Sep-21	2021		
The Bootleg Series Vol. 16: Springtime in New York 1980 - 1985 (Deluxe Edition)	17-Sep-21	2021		
The Reggae Remix	17-Jul-21	2021		
Best of the Bootleg Series	2-Oct-20	2020		
Rough and Rowdy Ways	19-Jun-20	2020		
"The Bootleg Series Vol. 15: Travelin’ Thru, 1967–1969"	1-Nov-19	2019		
The Rolling Thunder Revue: The 1975 Live Recordings (Sampler)	7-Jun-19	2019		
"The Bootleg Series Vol. 14: More Blood, More Tracks (Streaming Sampler)"	2-Nov-18	2018		
The Bootleg Series Vol. 13: Trouble No More 1979–1981	3-Nov-17	2017		
Triplicate (Sampler)	31-Mar-17	2017		
Fallen Angels	20-May-16	2016		
The Bootleg Series Vol. 12: The Cutting Edge	6-Nov-15	2015		
Shadows in the Night	3-Feb-15	2015		
The Bootleg Series Vol. 10: Another Self Portrait (1969–1971)	27-Aug-13	2013		
Tempest	10-Sep-12	2012		
Bob Dylan In Concert: Brandeis University 1963 	11-Apr-11	2011		
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964"	19-Oct-10	2010		
Christmas in the Heart	13-Oct-09	2009		
Together Through Life	28-Apr-09	2009		
The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989–2006	6-Oct-08	2008		
Modern Times	29-Aug-06	2006		
Live At Carnegie Hall 1963	15-Nov-05	2005		
Live at the Gaslight 1962	30-Aug-05	2005		
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack	30-Aug-05	2005		
"The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall"	30-Mar-04	2004		
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue"	26-Nov-02	2002		
The Rundown Rehearsal Tapes	May-02	2002		
Love and Theft	11-Sep-01	2001		
"The Bootleg Series Vol. 4: Bob Dylan Live 1966, The “Royal Albert Hall” Concert"	13-Oct-98	1998		
Time Out of Mind	30-Sep-97	1997		
MTV Unplugged	25-Apr-95	1995		
Bob Dylan’s Greatest Hits Volume 3	14-Nov-94	1994		
The Minnesota Tapes	1994	1994		
World Gone Wrong	26-Oct-93	1993		
Good as I Been to You	3-Nov-92	1992		
The Bootleg Series Volumes 1–3 (Rare & Unreleased) 1961–1991	1991	1991		
Under the Red Sky	10-Sep-90	1990		
Oh Mercy	18-Sep-89	1989		
Down in the Groove	30-May-88	1988		
Knocked Out Loaded	14-Jul-86	1986		
Biograph	7-Nov-85	1985		
Empire Burlesque	10-Jun-85	1985		
Real Live	29-Nov-84	1984		
Infidels	27-Oct-83	1983		
Shot of Love	10-Aug-81	1981		
Saved	23-Jun-80	1980		
Slow Train Coming	20-Aug-79	1979		
Bob Dylan At Budokan (Live)	23-Apr-79	1979		
Street-Legal	15-Jun-78	1978		
Live In Brisbane 1978	16-Mar-78	1978		
Hard Rain (Live)	13-Sep-76	1976		
Desire	5-Jan-76	1976		
Blood on the Tracks	20-Jan-75	1975		
Planet Waves	17-Jan-74	1974		
Dylan (1973)	19-Nov-73	1973		
Pat Garrett & Billy the Kid	13-Jul-73	1973		
Bob Dylan’s Greatest Hits Vol. II 	17-Nov-71	1971		
New Morning	19-Oct-70	1970		
Self Portrait	8-Jun-70	1970		
Nashville Skyline	9-Apr-69	1969		
John Wesley Harding	27-Dec-67	1967		
Bob Dylan’s Greatest Hits	27-Mar-67	1967		
Blonde on Blonde	20-Jun-66	1966		
Highway 61 Revisited	30-Aug-65	1965		
Bringing It All Back Home	22-Mar-65	1965		
Another Side of Bob Dylan	8-Aug-64	1964		
The Times They Are A-Changin’	13-Jan-64	1964		
The Freewheelin’ Bob Dylan	27-May-63	1963		
Bob Dylan	19-Mar-62	1962		
"The Joker, Vol. III: Early Years"				
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)"				
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17"				
Blood on the Tapes (Bootleg)				
