AlbumName	AlbumID	TrackCount			
 The Complete Budokan 1978 (Live)	1080765	50			 
Shadow Kingdom	1043431	14			
The Bootleg Series Vol. 16: Springtime in New York 1980 - 1985 (Standard Edition)	813384	24			
 The Bootleg Series Vol. 16: Springtime in New York 1980 - 1985 (Deluxe Edition)	820232	50			
The Reggae Remix	831613	4			
 Best of the Bootleg Series 	817851	28			
 Rough and Rowdy Ways 	633233	10			
" The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969 "	646838	40			
 The Rolling Thunder Revue: The 1975 Live Recordings (Sampler) 	648356	1			
" The Bootleg Series Vol. 14: More Blood, More Tracks (Streaming Sampler)"	466127	10			
The Bootleg Series Vol. 13: Trouble No More 1979-1981	398101	24			
 Triplicate (Sampler) 	328059	30			
 Fallen Angels 	148565	12			
The Bootleg Series Vol. 12: The Cutting Edge 	161171	50			
 Shadows in the Night 	1118735	10			
 The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)	646883	37			
Tempest 	19788	10			
Bob Dylan In Concert: Brandeis University 1963 	41793	7			
"The Bootleg Series, Vol. 9: The Witmark Demos: 1962-1964 "	41763	47			
Christmas in the Heart 	41757	15			
 Together Through Life 	41758	10			
 The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006 	41748	38			
 Modern Times 	41719	10			
 Live At Carnegie Hall 1963 	1080915	6			
 Live at the Gaslight 1962	140466	10			
The Bootleg Series Vol. 7: No Direction Home: The Soundtrack 	41739	28			
" The Bootleg Series Vol. 6: Bob Dylan Live 1964, Concert at Philharmonic Hall "	41728	19			
"The Bootleg Series Vol. 5: Bob Dylan Live 1975, The Rolling Thunder Revue "	41722	22			
The Rundown Rehearsal Tapes  	1080815	1			
Love and Theft  	25956	12			
"The Bootleg Series Vol. 4: Bob Dylan Live 1966, The ""Royal Albert Hall""ù Concert  "	41657	15			
 Time Out of Mind  	18656	11			
 MTV Unplugged 	41643	12			
Bob Dylan's Greatest Hits Volume 3 	817835	14			
The Minnesota Tapes 	1059206	20			
World Gone Wrong 	41578	10			
 Good as I Been to You 	41570	13			
 The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991	41539	50			
 Under the Red Sky 	41531	10			
Oh Mercy  	41526	10			
 Down in the Groove 	41518	10			
 Knocked Out Loaded  	25964	8			
 Biograph  	511426	50			
 Empire Burlesque  	25962	10			
 Real Live 	25964	10			
 Infidels  	41380	8			
 Shot of Love  	41378	10			
 Saved  	26064	9			
Slow Train Coming  	25963	9			
 Bob Dylan At Budokan (Live)  	41368	22			
Street-Legal  	35120	9			
 Live In Brisbane 1978  	1081920	19			
 Hard Rain (Live)  	41332	9			
 Desire 	41324	9			
 Blood on the Tracks 	22806	10			
 Planet Waves  	41305	11			
Dylan (1973)  	41576	9			
 Pat Garrett & Billy the Kid  	41298	11			
 Bob Dylan's Greatest Hits Vol. II   	539529	21			
New Morning  	41288	12			
 Self Portrait 	41283	24			
 Nashville Skyline 	41270	10			
John Wesley Harding  	24337	12			
 Bob Dylan‚Äôs Greatest Hits  	539539	10			
 Blonde on Blonde  	26024	14			
  Highway 61 Revisited  	13573	9			
  Bringing It All Back Home  	17399	11			
 Another Side of Bob Dylan  	25519	11			
  The Times They Are A-Changin'	28249	10			
  The Freewheelin' Bob Dylan  	17327	13			
  Bob Dylan  	26515	13			
"  The Joker, Vol. III: Early Years "	1223423	18			
"  Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17 (Deluxe Edition)  "	992332	32			
"Fragments - Time Out of Mind Sessions (1996-1997): The Bootleg Series, Vol. 17  "	994766	19			
  Blood on the Tapes (Bootleg)  	1108900	1			
