Album Title	Length
Bob Dylan / Self-Titled	36:54
The Freewheelin' Bob Dylan	50:04
The Times They Are A-Changin'	45:36
Another Side of Bob Dylan	50:37
Bringing It All Back Home	47:21
Highway 61 Revisited	51:26
Blonde on Blonde	1:12:57
Bob Dylan's Greatest Hits	40:44
John Wesley Harding	38:24
Nashville Skyline	27:14
Self Portrait	1:13:15
New Morning	35:21
Bob Dylan's Greatest Hits Vol. II	1:17:31
Pat Garrett & Billy the Kid	35:23
Dylan	33:22
Planet Waves	41:12
Before the Flood	1:32:38
Blood on the Tracks	51:42
The Basement Tapes	1:16:41
Desire	58:13
Hard Rain	51:08
Street-Legal	50:18
Bob Dylan at Budokan	1:39:41
Slow Train Coming	46:19
Saved	42:39
Shot of Love	44:27
Infidels	41:39
Real Live	50:15
Empire Burlesque	46:24
Biograph	3:34:15
Knocked Out Loaded	35:18
Down in the Groove	32:10
Dylan & The Dead	43:07
Oh Mercy	38:46
Under the Red Sky	35:21
Good as I Been to You	55:31
The 30th Anniversary Concert Celebration	2:28:24
World Gone Wrong	43:51
Bob Dylan's Greatest Hits Volume 3	1:17:24
MTV Unplugged	1:09:24
Time Out of Mind	1:12:50
The Essential Bob Dylan	2:01:27
Love and Theft	57:25
Live at the Gaslight 1962	46:29
Live at Carnegie Hall 1963	31:53
Modern Times	1:03:04
Together Through Life	45:33
Christmas in the Heart	42:21
In Concert - Brandeis University 1963	38:24
Tempest	1:08:31
Side Tracks	2:04:07
Shadows in the Night	35:17
Fallen Angels	37:50
Triplicate	1:35:42
Rough and Rowdy Ways	1:10:33
